H          CR                     H+         e-                                            4.600e-01  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  1  -9999   9999  1     1 1  1
He         CR                     He+        e-                                            5.000e-01  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  1  -9999   9999  1     2 1  1
H2         CR                     H          H                                             1.000e-01  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  1  -9999   9999  1     3 1  1
H2         CR                     H          H+         e-                                 2.200e-02  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  1  -9999   9999  1     4 1  1
H2         CR                     H+         H-                                            3.000e-04  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  1  -9999   9999  1     5 1  1
H2         CR                     H2+        e-                                            9.300e-01  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  1  -9999   9999  1     6 1  1
H-         CRP                    H          e-                                            1.280e+03  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1     7 1  2
H2+        CRP                    H          H+                                            6.080e+02  0.000e+00  0.000e+00 2.00e+00 0.00e+00 logn  2  -9999   9999  1     8 1  2
H2+        Photon                 H          H+                                            5.700e-10  0.000e+00  2.370e+00 1.50e+00 0.00e+00 logn  3  -9999   9999  2     9 1  2
H2+        Photon                 H          H+                                            5.720e-10  0.000e+00  2.780e+00 1.30e+00 0.00e+00 logn  3  -9999   9999  2     9 2  2
H-         Photon                 H          e-                                            1.460e-07  0.000e+00  1.243e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    10 1  2
H2         Photon                 H          H                                             5.680e-11  0.000e+00  4.183e+00 1.20e+00 0.00e+00 logn  3  -9999   9999  2    11 1  2
H2         Photon                 H2+        e-                                            0.000e+00  0.000e+00  4.183e+00 1.20e+00 0.00e+00 logn  3  -9999   9999  2    12 1  2
H          Photon                 H+         e-                                            0.000e+00  0.000e+00  3.000e+00 1.30e+00 0.00e+00 logn  3  -9999   9999  2    13 1  2
H          HeH+                   He         H2+                                           9.000e-10  0.000e+00  0.000e+00 1.25e+00 0.00e+00 logn  4     10    280  3    14 1  1
